timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2021-11-15,65519.11000000,66401.82000000,63400.00000000,63606.74000000,65519.11000000,66401.82000000,63400.00000000,63606.74000000,37829.37124000,37829.37124000
2021-11-13,64122.22000000,65000.00000000,63360.22000000,64380.00000000,64122.22000000,65000.00000000,63360.22000000,64380.00000000,22504.97383000,22504.97383000
2021-11-11,64882.42000000,65600.07000000,64100.00000000,64774.26000000,64882.42000000,65600.07000000,64100.00000000,64774.26000000,37237.98058000,37237.98058000
2021-11-09,67525.82000000,68524.25000000,66222.40000000,66947.66000000,67525.82000000,68524.25000000,66222.40000000,66947.66000000,44661.37806800,44661.37806800
2021-11-07,61470.62000000,63286.35000000,61322.78000000,63273.59000000,61470.62000000,63286.35000000,61322.78000000,63273.59000000,25515.68830000,25515.68830000
2021-11-05,61395.01000000,62595.72000000,60721.00000000,60937.12000000,61395.01000000,62595.72000000,60721.00000000,60937.12000000,31604.48749000,31604.48749000
2021-11-03,63220.57000000,63500.00000000,60382.76000000,62896.48000000,63220.57000000,63500.00000000,60382.76000000,62896.48000000,43336.09049000,43336.09049000
2021-11-01,61299.81000000,62437.74000000,59405.00000000,60911.11000000,61299.81000000,62437.74000000,59405.00000000,60911.11000000,44687.66672000,44687.66672000
2021-10-30,62253.70000000,62359.25000000,60673.00000000,61859.19000000,62253.70000000,62359.25000000,60673.00000000,61859.19000000,31478.12566000,31478.12566000
2021-10-28,58413.44000000,62499.00000000,57820.00000000,60575.89000000,58413.44000000,62499.00000000,57820.00000000,60575.89000000,61056.35301000,61056.35301000
2021-10-26,63078.78000000,63293.48000000,59817.55000000,60328.81000000,63078.78000000,63293.48000000,59817.55000000,60328.81000000,40217.50083000,40217.50083000
2021-10-24,61286.75000000,61500.00000000,59510.63000000,60852.22000000,61286.75000000,61500.00000000,59510.63000000,60852.22000000,31226.57676000,31226.57676000
2021-10-22,62193.15000000,63732.39000000,60000.00000000,60688.22000000,62193.15000000,63732.39000000,60000.00000000,60688.22000000,52119.35886000,52119.35886000
2021-10-20,64280.59000000,67000.00000000,63481.40000000,66001.41000000,64280.59000000,67000.00000000,63481.40000000,66001.41000000,51428.93485600,51428.93485600
2021-10-18,61528.32000000,62695.78000000,59844.45000000,62009.84000000,61528.32000000,62695.78000000,59844.45000000,62009.84000000,51798.44844000,51798.44844000
2021-10-16,61672.42000000,62378.42000000,60150.00000000,60875.57000000,61672.42000000,62378.42000000,60150.00000000,60875.57000000,35467.88096000,35467.88096000
